id,migration,batch
1,2015_01_08_100000_create_users_table,1
2,2018_01_08_145947_create_permission_tables,2
3,2018_03_26_122215_create_media_table,3
4,2018_05_03_133645_create_notifications_table,4
5,2018_05_19_110940_create_language_lines_table,5
6,2018_08_15_110309_create_configs_table,6
7,2019_05_03_000001_create_customer_columns,7
8,2019_05_03_000002_create_subscriptions_table,8
9,2019_05_03_000003_create_subscription_items_table,9
10,2019_12_14_000001_create_personal_access_tokens_table,10
11,2020_12_16_000001_create_password_resets_table,11
12,2020_12_16_125739_create_plans_table,12
13,2021_01_24_084621_create_email_verifications_table,13
14,2021_01_26_144230_create_user_infos_table,14
15,2021_01_27_161024_create_used_project_management_apps_table,15
16,2021_01_27_161410_create_user_helped_withs_table,16
17,2021_02_01_122807_create_companies_table,17
18,2021_02_01_130917_create_projects_table,18
19,2021_02_01_130943_create_meeting_types_table,19
20,2021_02_01_135023_create_contacts_table,20
21,2021_02_01_135025_create_project_contacts_table,21
22,2021_02_01_141515_create_issues_table,22
23,2021_02_01_141527_create_actions_table,23
24,2021_02_01_144643_create_project_settings_table,24
25,2021_02_02_043248_create_risks_table,25
26,2021_02_02_045707_create_mitigations_table,26
27,2021_02_02_050126_create_contingencies_table,27
28,2021_02_02_051642_create_action_histories_table,28
29,2021_02_02_053120_create_meetings_table,29
30,2021_02_02_054847_create_changes_table,30
31,2021_02_02_101753_create_change_descriptions_table,31
32,2021_02_02_101753_create_change_request_forms_table,32
33,2021_02_02_120215_create_meeting_minutes_table,33
34,2021_02_02_121537_create_model_actions_table,34
35,2021_02_02_122716_create_model_changes_table,35
36,2021_02_02_122728_create_model_risks_table,36
37,2021_02_02_124921_create_gyr_constraints_table,37
38,2021_02_08_135822_create_model_meeting_types_table,38
39,2021_02_10_125352_create_members_table,39
40,2021_02_23_031904_create_key_deliverables_table,40
41,2021_02_23_055848_create_project_activities_table,41
42,2021_02_23_113341_add_sponsor_id_column_to_projects_table,42
43,2021_02_27_042820_create_revised_end_date_histories_table,43
44,2021_03_01_023145_create_meeting_attendees_table,44
45,2021_04_16_152852_create_key_accomplishments_table,45
46,2021_04_16_152853_create_next_key_steps_table,46
47,2021_04_16_152859_create_milestones_table,47
48,2021_04_17_085028_create_statuses_table,48
49,2021_04_17_105426_create_snapshots_table,49
50,2021_04_20_050554_create_learnings_table,50
51,2021_04_25_033000_create_support_categories_table,51
52,2021_04_25_033004_create_support_topics_table,52
53,2021_04_25_105731_create_referrals_table,53
54,2021_04_28_080839_create_login_histories_table,54
55,2021_05_04_044734_create_billing_faqs_table,55
56,2021_05_10_165347_create_invoices_table,56
57,2021_05_11_142317_create_invoice_items_table,57
58,2021_05_16_045059_create_coupons_table,58
59,2021_05_19_111355_create_financial_histories_table,59
60,2021_05_25_033725_create_high_level_milestones_table,60
61,2021_05_25_033734_create_high_level_key_deliverables_table,61
62,2021_06_06_032810_create_newsletter_subscriptions_table,62
63,2021_06_15_042259_create_project_contact_invitations_table,63
64,2021_06_22_024804_create_feedbacks_table,64
65,2021_07_15_073843_create_delete_accounts_table,65
66,2021_10_01_144215_create_tooltips_table,66
67,2021_10_04_145359_create_tutorial_videos_table,67
68,2021_11_20_121848_create_deployments_table,68
69,2021_11_22_100001_add_owner_contact_name_column_to_actions_table,69
70,2021_11_22_100315_add_owner_contact_name_column_to_risks_table,70
71,2021_04_17_112354_create_jobs_table,71
72,2021_04_17_112554_create_failed_jobs_table,71
73,2021_12_02_113334_add_other_gyr_constraint_name_column_to_project_settings_table,72
74,2021_12_07_034319_remove_reason_column_from_delete_accounts_table,73
75,2021_12_07_034519_add_new_columns_to_delete_accounts_table,74
76,2021_12_14_112431_update_columns_of_changes_table,75
77,2021_12_23_035838_update_unique_indexes_of_contacts_table,76
78,2021_12_23_044518_add_timestamp_index_to_notifications_table,77
79,2022_01_06_042837_create_welcome_emails_table,78
80,2022_03_27_034456_create_decisions_table,79
81,2022_03_31_114423_add_urls_column_to_actions_table,80
82,2022_03_31_114502_add_urls_column_to_action_histories_table,81
83,2022_05_10_114052_add_urls_column_to_projects_table,82
84,2022_08_08_110650_update_issues_table,83
85,2022_08_10_134717_update_actions_table,84
86,2022_08_10_134812_update_action_histories_table,85
87,2022_08_12_052416_update_statuses_table,86
88,2022_11_23_072205_create_contributor_project_settings_table,87
89,2023_04_07_122004_update_statuses_table,88
